,Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,produce_variety,Type_of_Commodity,Package_Type,package_weight(Kg),Day,Month,Year,Price
0,Horticulture,Cabbages,Ext Bag,126,KES2205.00,1/1/2012,1,5,2,126,1,1,2012,2205
1,Horticulture,Cooking Bananas,Med Bunch,22,KES511.00,1/1/2012,1,11,4,22,1,1,2012,511
2,Horticulture,Ripe Bananas,Med Bunch,14,KES616.00,1/1/2012,1,34,4,14,1,1,2012,616
3,Horticulture,Carrots,Ext Bag,138,KES2833.00,1/1/2012,1,7,2,138,1,1,2012,2833
4,Horticulture,Tomatoes,Lg Box,64,KES3411.00,1/1/2012,1,38,3,64,1,1,2012,3411
5,Horticulture,Onions Dry,net,13,KES1043.00,1/1/2012,1,28,7,13,1,1,2012,1043
6,Horticulture,Spring Onions,Bag,142,KES1997.00,1/1/2012,1,36,0,142,1,1,2012,1997
7,Horticulture,Chillies,Bag,38,KES2163.00,1/1/2012,1,10,0,38,1,1,2012,2163
8,Horticulture,Cucumber,Bag,50,KES2377.00,1/1/2012,1,13,0,50,1,1,2012,2377
9,Horticulture,Capsicums,Bag,50,KES2349.00,1/1/2012,1,6,0,50,1,1,2012,2349
10,Horticulture,Brinjals,Bag,44,KES1614.00,1/1/2012,1,4,0,44,1,1,2012,1614
11,Horticulture,Cauliflower,crate,39,KES2737.00,1/1/2012,1,9,6,39,1,1,2012,2737
12,Horticulture,Lettuce,Bag,51,KES2833.00,1/1/2012,1,23,0,51,1,1,2012,2833
13,Horticulture,Passion Fruits,Bag,57,KES4063.00,1/1/2012,1,30,0,57,1,1,2012,4063
14,Horticulture,Oranges,Bag,93,KES2757.00,1/1/2012,1,29,0,93,1,1,2012,2757
15,Horticulture,Lemons,Bag,95,KES1445.00,1/1/2012,1,22,0,95,1,1,2012,1445
16,Horticulture,Mangoes Local,Bag,126,KES1514.00,1/1/2012,1,25,0,126,1,1,2012,1514
17,Horticulture,Mangoes Ngowe,Sm Basket,25,KES785.00,1/1/2012,1,26,5,25,1,1,2012,785
